food,calories,protein,carbs,fat
aloo paratha,250,6,35,10
aloo sabzi,180,4,25,7
apple,95,1,25,0
baguette,270,9,55,2
banana,105,1,27,0
bangers and mash,500,20,45,28
basmati rice,200,4,45,1
beans on toast,300,12,45,7
beef bourguignon,350,30,15,20
biryani,350,12,50,12
boiled egg,75,6,1,5
bouillabaisse,250,25,12,10
bruschetta,120,3,18,4
burger,350,20,35,15
butter chicken,350,25,10,24
carbonara,400,18,40,20
cereal,200,5,35,4
chai,100,3,15,3
chana masala,220,10,32,6
chapati,100,3,18,2
cheese,110,7,1,9
cheeseburger,450,25,35,24
chicken biryani,400,25,50,14
chicken curry,300,25,10,18
chicken nuggets,250,14,15,15
chicken salad,250,25,10,12
chole,220,10,32,6
coffee,80,2,12,2
cottage pie,350,20,30,17
crepe,150,4,20,6
crepe with chocolate,250,5,32,11
croissant,230,5,26,12
curd,100,5,8,5
dal,180,10,25,5
dal tadka,200,9,25,7
dhokla,100,4,15,3
dosa,170,4,25,6
english breakfast,700,30,45,40
fish and chips,600,25,60,28
french fries,300,4,40,14
french onion soup,200,8,25,8
french toast,220,8,25,9
fried chicken,350,25,15,22
fries,300,4,40,14
garlic bread,150,4,20,6
gnocchi,250,6,45,5
grapes,100,1,27,0
grilled cheese,350,15,30,20
gulab jamun,150,2,25,5
hot chocolate,200,6,30,6
hot dog,300,12,25,17
idli,60,2,12,0
jacket potato,220,5,45,2
jalebi,150,1,30,4
jeera rice,230,4,42,6
kadhi,180,7,18,8
kheer,200,5,30,7
lasagna,350,20,35,15
lassi,180,6,25,6
macaron,80,1,10,4
mango,135,1,35,1
margherita pizza,280,12,36,9
masala dosa,350,7,50,12
milk,120,8,12,5
mixed veg,150,5,20,6
mutton biryani,450,22,48,20
naan,260,8,45,6
oatmeal,160,6,27,3
omelette,180,12,2,13
orange,60,1,15,0
orange juice,110,2,26,0
pain au chocolat,250,5,30,13
pakora,120,3,12,7
palak paneer,300,15,12,22
pancakes,230,6,35,7
paneer,265,18,6,20
paneer tikka,250,18,8,17
papaya,60,1,15,0
paratha,210,5,30,8
pasta,220,8,40,3
pav bhaji,350,9,50,12
pepperoni pizza,300,13,30,14
pesto pasta,350,10,40,17
pineapple,80,1,21,0
pizza,285,12,36,10
poha,180,4,30,5
poori,130,3,15,7
quiche,300,12,20,18
rajma,210,10,30,5
rasgulla,120,3,22,2
ratatouille,150,4,18,7
ravioli,300,12,40,10
rice,200,4,45,1
risotto,300,8,45,10
roast beef,300,35,5,15
roast chicken,280,30,5,15
roti,100,3,18,2
salad,100,3,15,3
samosa,150,3,18,7
sandwich,300,12,35,12
scones,200,4,30,7
scotch egg,250,12,12,17
scrambled eggs,200,13,2,15
shahi paneer,350,16,15,27
shepherds pie,350,20,30,17
smoothie,200,5,30,6
soup,150,5,20,5
spaghetti,220,8,40,3
spaghetti bolognese,350,20,45,10
steak and kidney pie,450,25,35,25
strawberries,50,1,12,0
tandoori chicken,250,30,5,12
tea,100,3,15,3
upma,200,5,30,6
uttapam,200,5,30,6
vada pav,290,7,40,11
waffles,220,6,30,8
watermelon,45,1,11,0
yogurt,100,5,8,5
yorkshire pudding,150,4,15,8
egg curry,100.0,111.0,111.0,11.0
